Provinsi,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,Tenaga Medis,Tenaga Kebidanan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Jumlah Tenaga Medis,Jumlah Tenaga Kesehatan Psikologi Klinis,Jumlah Tenaga Keterapian Fisik,Jumlah Tenaga Keteknisan Medis,Jumlah Tenaga Teknik Biomedika,Jumlah Tenaga Kesehatan Tradisional,facility_index,workforce_index,disease_burden_index,insurance_coverage_index
Kalimantan Tengah,0.06149732620320855,0.02409638554216868,0.13387096774193546,0.12064676616915422,0.15167711021009944,0.4890435679298787,0.02245570663370416,0.08421052631578947,0.38251366120218583,0.5070422535211269,0.5833333333333335,0.03386758252241938,0.13855509114129805,0.0004082693092825595,0.16772851384735404,0.41025641025641024,0.1309347181008902,0.12453183520599248,0.6880104540999674,0.389315910837817,0.2566079295154185,0.21483942414174964,0.07407407407407408,0.0,0.0958904109589041,0.004036326942482341,0.0010395010395010396,0.7790697674418605,0.32588832487309644,0.6842723004694836,0.0010787486515641855,0.07228915662650603,0.18717277486910996,0.649104320337197,0.0,0.14048620850864893,0.15160075329566855,0.571369692108898,0.029799089491352244,0.10765692684604677
Kalimantan Selatan,0.0962566844919786,0.08433734939759037,0.08064516129032259,0.20771144278606965,0.24198304460007358,0.5351894818252125,0.003914297486608982,0.07894736842105264,0.35519125683060115,0.5070422535211269,0.6111111111111112,0.05075367296317497,0.026239405549750378,0.0001484615670118398,0.04988514714168074,0.25724637681159424,0.1309347181008902,0.0936329588014981,0.8667102254165309,0.17332820906994617,0.2566079295154185,0.05232558139534885,0.0,0.0,0.1232876712328767,0.005045408678102926,0.002079002079002079,0.0,0.6659898477157361,0.0,0.002157497303128371,0.1686746987951807,0.3442408376963351,0.001053740779768177,0.001075268817204301,0.01075268817204301,0.1864406779661017,0.1957403199215791,0.04329799023038627,0.23280810430457577
Kalimantan Timur,0.1229946524064171,0.13253012048192772,0.14354838709677417,0.09203980099502487,0.15038702543309979,0.8894044856921886,0.002266172229089411,0.5473684210526316,0.9713114754098361,0.15492957746478875,0.75,0.1110475100171723,0.023220712875885285,0.0008536540103180789,0.6181684219650673,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.3417183926821301,0.7390468870099922,0.2566079295154185,0.6744186046511627,0.10956790123456792,0.0,0.136986301369863,0.004036326942482341,0.0031185031185031187,0.0,0.3949238578680203,0.5809859154929577,0.0032362459546925564,0.12048192771084339,0.5287958115183247,1.0,0.001075268817204301,0.026881720430107524,0.13559322033898305,0.5303435369602993,0.11440187364785318,0.548826041650575
Kalimantan Utara,0.024064171122994648,0.18147590361445784,0.029032258064516127,0.01865671641791045,0.4456321415407297,0.6212941479762824,0.13795171962480912,0.18200339558573858,0.22540983606557374,0.323943661971831,0.36111111111111116,0.007441327990841441,0.06246371763613143,0.0002598077422707197,0.1445845793784943,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.7027115321790267,0.300153727901614,0.2566079295154185,0.20930232558139536,0.23302469135802473,0.0,0.0273972602739726,0.0,0.734927234927235,0.37526427061310785,0.1269035532994924,0.16784037558685447,0.8015102481121897,0.015060240963855425,0.06413612565445026,0.2339304531085353,0.38279569892473114,0.14048620850864893,0.013182674199623358,0.6405449360602413,0.00014093293777126675,0.684563100552436
Sulawesi Utara,0.11764705882352941,0.08433734939759037,0.1564516129032258,0.10074626865671642,0.3582749723553261,0.6084042278937869,0.004120313143798929,0.05789473684210528,0.2950819672131148,0.3661971830985916,0.7222222222222223,0.06506391909940851,0.16660861488447698,0.001336154103106558,0.24188445369046066,0.05769230769230772,0.1309347181008902,0.12453183520599248,0.7876510944135904,0.26633358954650266,0.2566079295154185,0.21483942414174964,0.11574074074074073,0.0,0.1232876712328767,0.00201816347124117,0.0010395010395010396,0.0,0.5593908629441625,0.8438967136150235,0.002157497303128371,0.04819277108433735,0.28141361256544506,0.6765015806111696,0.9709677419354839,0.0,0.1497175141242938,0.7242904246312879,0.0625043161044456,0.42748771368451033
Sulawesi Tengah,0.07754010695187165,0.03614457831325302,0.19838709677419353,0.08830845771144279,0.5246959085882784,0.2724929105439545,0.04470539761021838,0.0,0.13524590163934427,0.6056338028169014,0.666666666666667,0.057431787826750624,0.09160571229536749,0.0014846156701183977,0.14506132709227232,0.20512820512820512,0.03560830860534125,0.12453183520599248,0.44233910486769035,0.6633358954650268,0.10572687224669602,0.21483942414174964,0.12345679012345678,0.0,0.1095890410958904,0.006054490413723511,0.0010395010395010396,0.00211416490486258,0.7238578680203046,0.8063380281690141,0.0010787486515641855,0.09337349397590362,0.17408376963350786,0.5995785036880927,0.0,0.005376344086021506,0.1647834274952919,0.49165664126899244,0.05353224139988778,0.3532492912135903
Sulawesi Selatan,0.24598930481283418,0.2771084337349398,0.49032258064516127,0.18034825870646765,0.5547364541098415,0.4080948698118071,0.008240626287597856,0.12105263157894741,0.18579234972677594,0.3380281690140845,0.7777777777777777,0.17401259301659988,0.08719377684894926,0.000742307835059199,0.18926884236986952,0.10256410256410255,0.008902077151335314,0.0,0.48546226723293073,0.6179861644888549,0.05726872246696035,0.2034883720930232,0.08950617283950615,0.0,0.3561643835616438,0.019172552976791123,0.005197505197505198,0.004228329809725159,0.0,0.0011737089201877935,0.006472491909385113,0.06024096385542169,0.8023560209424084,0.0021074815595363535,0.0032258064516129032,0.021505376344086023,0.4048964218455744,0.12041616539678295,0.1699529488130613,0.48154046237179626
Sulawesi Tenggara,0.08288770053475936,0.03614457831325302,0.17258064516129032,0.2189054726368159,0.5154810173239953,0.3436452693993297,0.05686032138442521,0.0,0.1912568306010929,0.43661971830985913,0.6944444444444446,0.044838771226865096,0.0688494136769999,0.000816538618565119,0.1685519871711524,0.05769230769230772,0.1309347181008902,0.12453183520599248,0.7856909506697158,0.2555726364335126,0.2566079295154185,0.21483942414174964,0.23611111111111116,0.0,0.1232876712328767,0.007063572149344097,0.002079002079002079,0.0031712473572938693,0.8060913705583758,0.0,0.0010787486515641855,0.045180722891566265,0.1662303664921466,0.0,0.001075268817204301,0.14048620850864893,0.2485875706214689,0.19269928262709973,0.04016216591225103,0.42636628736319726
Gorontalo,0.034759358288770054,0.0,0.035483870967741936,0.05970149253731344,0.7171028381865093,0.2077855117298272,0.0004120313143798934,0.13157894736842107,0.17622950819672134,0.5070422535211269,0.8888888888888888,0.010017172295363481,0.18367583884825264,0.00697769364955647,0.22693191175833222,0.25724637681159424,0.1309347181008902,0.12453183520599248,1.0000000000000002,0.06264411990776309,0.2566079295154185,0.21483942414174964,0.03549382716049382,0.0,0.0410958904109589,0.0010090817356205853,0.7588357588357589,0.0,0.25076142131979695,0.6784037558685446,0.8079827400215749,0.00602409638554217,0.04842931937172775,0.24973656480505796,0.5376344086021505,0.14048620850864893,0.04802259887005649,0.7371340729848949,0.008777128992446447,0.4952218634918144
Sulawesi Barat,0.0160427807486631,0.012048192771084338,0.09193548387096774,0.019900497512437814,0.6465167711021008,0.28177365300335133,0.4353110836423568,0.18200339558573858,0.0,0.5492957746478874,0.8611111111111112,0.0,0.14512945547428308,0.00022269235051775973,0.32713561305421923,0.3333333333333333,0.1309347181008902,0.12453183520599248,0.4011760862463247,0.6813989239046887,0.2566079295154185,0.21483942414174964,0.21759259259259262,0.0,0.0410958904109589,0.0030272452068617556,0.7182952182952184,1.0000000000000002,0.2812182741116751,0.39788732394366194,0.7162891046386192,0.0,0.07198952879581152,0.19072708113804004,0.37849462365591396,0.14048620850864893,0.05084745762711864,0.8465334402709083,0.0006414016952887361,0.9203726694228784
Maluku,0.053475935828877,0.0,0.14838709677419354,0.15422885572139303,0.15960191669738277,0.37458107759731885,0.045941491553358055,0.0736842105263158,0.12158469945355191,0.3098591549295775,0.8055555555555558,0.05762259110856707,0.25844653430860326,0.006161155030991352,0.02570103584275993,0.2884615384615385,0.05637982195845697,0.12453183520599248,0.3547860176412938,0.7659492697924672,0.2566079295154185,0.21483942414174964,0.13117283950617284,0.0,0.0821917808219178,0.0030272452068617556,0.9823284823284824,0.0010570824524312897,0.6700507614213199,0.875586854460094,0.0,0.030120481927710847,0.07984293193717278,0.2581664910432034,0.886021505376344,0.14048620850864893,0.1854990583804143,0.8439713941986363,0.05105286367383089,0.0
Maluku Utara,0.034759358288770054,0.012048192771084338,0.08870967741935484,0.08706467661691543,0.10947290821968292,0.299819541118845,0.3572311495673671,0.04210526315789474,0.2144808743169399,0.5492957746478874,0.5277777777777777,0.05199389429498187,0.6469290607221642,0.000779423226812159,0.08819832704893163,0.2564102564102564,0.18100890207715134,0.12453183520599248,0.42339104867690325,0.6737125288239814,0.2566079295154185,0.21483942414174964,0.14506172839506173,0.0,0.0410958904109589,0.0030272452068617556,0.8014553014553015,0.0010570824524312897,0.32284263959390863,0.5809859154929577,0.9029126213592232,0.00602409638554217,0.07068062827225131,0.2750263435194942,0.8720430107526882,0.14048620850864893,0.09981167608286254,0.8580626475961322,0.050519859662478635,0.22675240216948578
Papua Barat,0.0160427807486631,0.18147590361445784,0.03870967741935484,0.03980099502487562,0.43162550681901946,0.20598092291827783,0.12134322208487845,0.18200339558573858,0.10245901639344263,0.6619718309859156,0.4722222222222223,0.0924441900400687,0.7455009868802973,0.06910885944401143,0.005460928357820827,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.3959490362626594,0.5599538816295155,0.2566079295154185,0.21483942414174964,0.507716049382716,0.0,0.0136986301369863,0.0,0.46777546777546786,0.3572938689217759,0.09035532994923859,0.2171361502347418,0.4757281553398058,0.00602409638554217,0.031413612565445025,0.1001053740779768,0.35591397849462364,0.0,0.03483992467043314,0.44144053825246177,0.09241474049014997,0.26792683568298403
Papua Barat Daya,0.010695187165775399,0.18147590361445784,0.025806451612903226,0.09701492537313434,0.6164762255805382,0.2559938128383604,0.010712814173877216,0.18200339558573858,0.41120218579234974,0.5774647887323944,0.3055555555555556,0.03806525472238123,1.0000000000000002,0.042756931299409856,0.22056444039931233,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.36752695197647833,0.638739431206764,0.2566079295154185,0.7034883720930232,0.1574074074074074,0.0,0.0136986301369863,0.0,0.43035343035343043,0.4503171247357294,0.1451776649746193,0.278169014084507,0.4606256742179072,0.00602409638554217,0.014397905759162305,0.08429926238145416,0.24408602150537634,0.14048620850864893,0.07062146892655366,0.4512097313193423,0.04288946546225975,0.4666435798196449
Papua,0.026737967914438502,0.0,0.06774193548387097,0.06965174129353234,0.2429045337265019,0.4532095901005413,0.20931190770498553,0.07894736842105264,0.2691256830601093,0.23943661971830987,0.5277777777777777,0.2735165044838771,0.13855509114129805,0.9999999999999999,0.0,0.25724637681159424,0.22551928783382785,0.12453183520599248,0.5909833387781773,0.37163720215219054,0.2566079295154185,0.21483942414174964,0.5061728395061729,0.0,0.0410958904109589,0.0010090817356205853,1.0,0.6976744186046512,0.24263959390862946,0.38967136150234744,0.9999999999999998,0.0030120481927710845,0.051047120418848166,0.16649104320337196,0.8473118279569892,0.14048620850864893,0.0743879472693032,1.0,0.2902361410849816,0.37208925341164867
Papua Selatan,0.0,0.18147590361445784,0.09193548387096774,0.00373134328358209,0.3789163287873203,0.22866718226346996,0.4701277297074578,0.18200339558573858,0.11885245901639346,0.5633802816901409,0.666666666666667,0.015741270749856897,0.2993149889701614,0.5452993356344876,0.10189398864473624,0.25724637681159424,0.1309347181008902,0.12453183520599248,0.04704344985298925,0.9999999999999998,1.0,0.21483942414174964,0.20942265795206974,0.0,0.0136986301369863,1.0,0.28170478170478175,0.2864693446088795,0.09035532994923859,0.1455399061032864,0.34843581445523186,0.0030120481927710845,0.019633507853403145,0.06954689146469968,0.24731182795698925,0.14048620850864893,0.03860640301318268,0.557278438711402,0.026207412774818563,0.6059247289267176
Papua Tengah,0.0160427807486631,0.18147590361445784,0.043548387096774194,0.09328358208955224,0.0,0.0,0.6930366707869797,0.1105263157894737,0.49316939890710376,0.43661971830985913,0.5833333333333335,0.1838389620301469,0.10588645071403693,0.49608432617006265,0.031205304901833306,1.0,0.1309347181008902,0.12453183520599248,0.0,0.9189085318985395,0.2566079295154185,0.21483942414174964,1.0,0.0,0.0273972602739726,0.0,0.5197505197505198,0.5190274841437632,0.19796954314720813,0.17488262910798125,0.5631067961165048,0.009036144578313254,0.02486910994764398,0.10115911485774498,0.4333333333333333,0.14048620850864893,0.07815442561205274,0.5567660294969476,0.18924444049862935,0.24693807595311945
Papua Pegunungan,0.0,0.18147590361445784,0.03387096774193548,0.17039800995024873,0.33247327681533356,0.05284867233823151,0.9999999999999999,0.18200339558573858,0.28145768719539216,0.0,0.0,0.04016409082236215,0.13855509114129805,0.13513714137252716,0.22056444039931233,0.25724637681159424,1.0000000000000002,0.9999999999999999,0.6814766416203855,0.0,0.5682819383259913,0.21483942414174964,0.337962962962963,0.0,0.0,0.6175580221997983,0.20893970893970895,0.33298097251585623,0.07411167512690356,0.08568075117370892,0.2373247033441208,0.0,0.003926701570680628,0.020021074815595362,0.15376344086021507,0.33870967741935487,0.13088512241054615,0.38148866016129745,0.03530049789039181,1.0
