province_id,Provinsi,facility_index,workforce_capacity_index,disease_burden_index,insurance_coverage_index
1,Aceh,183.0,54.17753623188406,88.07666666666667,0.1998
2,Bali,60.0,156.25,403.98166666666674,0.18316
3,Banten,126.5,189.33333333333331,425.8683333333333,0.1637
4,Bengkulu,89.5,195.67753623188403,63.54120370370371,0.1566116129032258
5,DI Yogyakarta,60.5,194.41666666666663,193.0183333333333,0.18372
6,DKI Jakarta,22.0,112.16666666666669,769.4433333333333,0.2100523529411764
7,Gorontalo,47.5,260.2608695652174,78.82833333333333,0.1783
8,Jambi,104.0,177.58333333333334,86.08666666666666,0.1411923529411764
9,Jawa Barat,553.0,41.75,1582.647291666667,0.15052
10,Jawa Tengah,440.5,37.16666666666666,1043.14,0.1504599999999999
11,Jawa Timur,488.0,50.16666666666666,1805.2416666666668,0.15442
12,Kalimantan Barat,126.0,147.25,220.5172916666667,0.14744
13,Kalimantan Selatan,121.0,84.16666666666667,138.95333333333332,0.1548999999999999
14,Kalimantan Tengah,102.5,206.34420289855072,115.44229166666668,0.14374
15,Kalimantan Timur,94.0,193.0,262.795,0.18308
16,Kalimantan Utara,29.0,228.84420289855072,63.78666666666666,0.1951839658444022
17,Kepulauan Bangka Belitung,32.0,169.84420289855072,89.705,0.1843923529411764
18,Kepulauan Riau,48.0,221.5,182.0583333333333,0.17686
19,Lampung,161.0,167.25,227.05000000000004,0.1613799999999999
20,Maluku,120.5,295.0108695652174,152.46,0.1341399999999999
21,Maluku Utara,75.0,299.5942028985507,151.53166666666667,0.15436
22,Nusa Tenggara Barat,88.5,80.83333333333333,148.315,0.16216
23,Nusa Tenggara Timur,220.5,20.5,240.29666666666665,0.15686
24,Papua,61.5,345.76086956521743,569.045625,0.16732
25,Papua Barat,40.5,164.08333333333334,224.50000000000003,0.1580316129032258
26,Papua Barat Daya,59.5,167.2608695652174,138.24180555555554,0.1757516129032258
27,Papua Pegunungan,91.5,144.58333333333334,125.02409722222222,0.2233121534437663
28,Papua Selatan,42.5,201.76086956521735,109.18666666666668,0.1881716129032258
29,Papua Tengah,63.5,201.59420289855072,393.14833333333337,0.15616
30,Riau,121.0,151.91666666666666,207.53333333333333,0.1587
31,Sulawesi Barat,49.0,295.8442028985507,64.65833333333333,0.2162116129032258
32,Sulawesi Selatan,237.0,59.66666666666666,359.54833333333335,0.17708
33,Sulawesi Tengah,109.5,180.41666666666663,156.77833333333334,0.1656399999999999
34,Sulawesi Tenggara,154.0,83.17753623188406,133.49166666666667,0.17216
35,Sulawesi Utara,101.5,256.0833333333333,172.405,0.17226
36,Sumatera Barat,140.0,90.83333333333331,128.1266666666667,0.1698
37,Sumatera Selatan,177.0,45.5108695652174,190.819537037037,0.15402
38,Sumatera Utara,309.5,136.16666666666666,539.1622916666666,0.14454
