province_id,Provinsi,indicator,value
2,Bali,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.0012
2,Bali,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.0181
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.0159705882352941
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.3657
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.005995238095238
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,0.0050125
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,0.004025
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,0.006325
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,0.0059130434782608
2,Bali,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,0.6186
2,Bali,workforce_capacity_index,156.25
3,Banten,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,91.0
3,Banten,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,56.14
3,Banten,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,0.01
3,Banten,Jumlah Kasus Penyakit - Angka Penemuan TBC,112.0
3,Banten,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,2289.0
3,Banten,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,7.06
3,Banten,Jumlah Puskesmas Non Rawat Inap,190.0
3,Banten,Jumlah Puskesmas Rawat Inap,63.0
3,Banten,Jumlah Rumah Sakit Khusus,25.0
3,Banten,Jumlah Rumah Sakit Umum,111.0
3,Banten,Jumlah Tenaga Kesehatan Psikologi Klinis,91.0
3,Banten,Jumlah Tenaga Kesehatan Tradisional,10.0
3,Banten,Jumlah Tenaga Keteknisan Medis,2.0
3,Banten,Jumlah Tenaga Keterapian Fisik,766.0
3,Banten,Jumlah Tenaga Medis,12.0
3,Banten,Jumlah Tenaga Teknik Biomedika,3.0
3,Banten,Tenaga Gizi,815.0
3,Banten,Tenaga Kebidanan,10.0
3,Banten,Tenaga Kefarmasian,6.0
3,Banten,Tenaga Kesehatan Lingkungan,537.0
3,Banten,Tenaga Kesehatan Masyarakat,1.0
3,Banten,Tenaga Medis,19.0
3,Banten,disease_burden_index,425.8683333333333
3,Banten,facility_index,126.5
3,Banten,insurance_coverage_index,0.1637
3,Banten,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,0.01
3,Banten,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,0.3215999999999999
3,Banten,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,0.4169
3,Banten,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.027
3,Banten,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.043
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.0157
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.3628
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.0075
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,0.006
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,0.004025
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,0.006325
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,0.0144
3,Banten,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,0.5911
3,Banten,workforce_capacity_index,189.33333333333331
4,Bengkulu,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,76.0
4,Bengkulu,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,41.35
4,Bengkulu,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,17.34722222222222
4,Bengkulu,Jumlah Kasus Penyakit - Angka Penemuan TBC,48.0
4,Bengkulu,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,197.0
4,Bengkulu,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,1.55
4,Bengkulu,Jumlah Puskesmas Non Rawat Inap,127.0
4,Bengkulu,Jumlah Puskesmas Rawat Inap,52.0
4,Bengkulu,Jumlah Rumah Sakit Khusus,3.0
4,Bengkulu,Jumlah Rumah Sakit Umum,25.0
4,Bengkulu,Jumlah Tenaga Kesehatan Psikologi Klinis,16.0
4,Bengkulu,Jumlah Tenaga Kesehatan Tradisional,27.130434782608692
4,Bengkulu,Jumlah Tenaga Keteknisan Medis,367.0
4,Bengkulu,Jumlah Tenaga Keterapian Fisik,86.0
4,Bengkulu,Jumlah Tenaga Medis,1.0
4,Bengkulu,Jumlah Tenaga Teknik Biomedika,931.0
4,Bengkulu,Tenaga Gizi,578.0
4,Bengkulu,Tenaga Kebidanan,5.0
4,Bengkulu,Tenaga Kefarmasian,1.0
4,Bengkulu,Tenaga Kesehatan Lingkungan,330.0
4,Bengkulu,Tenaga Kesehatan Masyarakat,1.0
4,Bengkulu,Tenaga Medis,5.0
4,Bengkulu,disease_burden_index,63.54120370370371
4,Bengkulu,facility_index,89.5
4,Bengkulu,insurance_coverage_index,0.1566116129032258
4,Bengkulu,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_asuransi_swasta_ratio,0.003958064516129
4,Bengkulu,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_non-penerima_bantuan_iuran_(non-pbi)_ratio,0.2658
4,Bengkulu,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_bpjs_kesehatan_penerima_bantuan_iuran_(pbi)_ratio,0.4874
4,Bengkulu,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_jamkesda_ratio,0.0089
4,Bengkulu,penduduk_yang_memiliki_jaminan_kesehatan_menurut_jenis_jaminan_-_perusahaan/kantor_ratio,0.017
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_jumlah_ratio,1.0
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_lainnya_ratio,0.011
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_mengobati_sendiri_ratio,0.345
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_merasa_tidak_perlu_ratio,0.005995238095238
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_biaya_transport_ratio,0.0050125
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_sarana_transportasi_ratio,0.004025
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_ada_yang_mendampingi_ratio,0.006325
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_tidak_punya_biaya_berobat_ratio,0.0042
4,Bengkulu,penduduk_yang_mempunyai_keluhan_kesehatan_selama_sebulan_terakhir_dan_tidak_berobat_jalan_menurut_alasan_utama_tidak_berobat_jalan_-_waktu_tunggu_pelayanan_lama_ratio,0.6346
4,Bengkulu,workforce_capacity_index,195.67753623188403
5,DI Yogyakarta,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,85.0
5,DI Yogyakarta,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk,53.31
5,DI Yogyakarta,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,0.04
5,DI Yogyakarta,Jumlah Kasus Penyakit - Angka Penemuan TBC,75.0
5,DI Yogyakarta,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,944.0
5,DI Yogyakarta,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,0.76
5,DI Yogyakarta,Jumlah Puskesmas Non Rawat Inap,74.0
5,DI Yogyakarta,Jumlah Puskesmas Rawat Inap,47.0
5,DI Yogyakarta,Jumlah Rumah Sakit Khusus,16.0
5,DI Yogyakarta,Jumlah Rumah Sakit Umum,64.0
5,DI Yogyakarta,Jumlah Tenaga Kesehatan Psikologi Klinis,178.0
5,DI Yogyakarta,Jumlah Tenaga Kesehatan Tradisional,4.0
