model,silhouette_score,davies_bouldin,calinski_harabasz,inertia,n_clusters,bic,aic,converged,n_iter,n_components,covariance_type
kmeans,0.345,0.8755,30.0619,2.2519,4.0,,,,,,
gmm,0.2404,0.999,23.355,,,-53.6279,-150.2455,True,9.0,4.0,full
