province_id,Provinsi,facility_index,workforce_capacity_index,disease_burden_index,insurance_coverage_index,facility_index_scaled,workforce_capacity_index_scaled,disease_burden_index_scaled,insurance_coverage_index_scaled,cluster_id,cluster_method
1,Aceh,183.0,54.17753623188406,88.07666666666667,0.1998,0.3032015065913371,0.1035400793120349,0.0140870738021298,0.7363285225741065,1,gmm
2,Bali,60.0,156.25,403.98166666666674,0.18316,0.071563088512241,0.4173573051731051,0.1954644154964563,0.5497231827076257,0,gmm
3,Banten,126.5,189.3333333333333,425.8683333333333,0.1637,0.1967984934086629,0.5190705342423027,0.2080306788305277,0.3314936205801186,3,gmm
4,Bengkulu,89.5,195.67753623188403,63.54120370370371,0.1566116129032258,0.1271186440677966,0.5385755023838166,0.0,0.2520025819203395,3,gmm
5,DI Yogyakarta,60.5,194.41666666666663,193.0183333333333,0.18372,0.0725047080979284,0.5346990152831617,0.0743394931464647,0.5560031701069788,0,gmm
6,DKI Jakarta,22.0,112.16666666666669,769.4433333333333,0.2100523529411764,0.0,0.2818250679499175,0.4052947935885347,0.8513011070103653,0,gmm
7,Gorontalo,47.5,260.2608695652174,78.82833333333333,0.1783,0.0480225988700564,0.7371340729848949,0.0087771289924464,0.4952218634918144,0,gmm
8,Jambi,104.0,177.58333333333334,86.08666666666666,0.1411923529411764,0.1544256120527307,0.4829456846232678,0.0129445122409905,0.0790869421542435,3,gmm
9,Jawa Barat,553.0,41.75,1582.647291666667,0.15052,1.0,0.0653321748429354,0.8721970971855145,0.1836896314310669,2,gmm
10,Jawa Tengah,440.5,37.16666666666666,1043.14,0.1504599999999999,0.788135593220339,0.0512409214454395,0.562438155772097,0.1830167756382792,2,gmm
11,Jawa Timur,488.0,50.16666666666666,1805.2416666666668,0.15442,0.8775894538606402,0.0912088401728824,1.0000000000000002,0.2274252579622735,2,gmm
12,Kalimantan Barat,126.0,147.25,220.5172916666667,0.14744,0.1958568738229755,0.3896872075925677,0.0901280623741219,0.1491497007346274,3,gmm
13,Kalimantan Selatan,121.0,84.16666666666667,138.95333333333332,0.1548999999999999,0.1864406779661017,0.1957403199215791,0.0432979902303862,0.2328081043045757,3,gmm
14,Kalimantan Tengah,102.5,206.34420289855072,115.44229166666668,0.14374,0.1516007532956685,0.571369692108898,0.0297990894913522,0.1076569268460467,3,gmm
15,Kalimantan Timur,94.0,193.0,262.795,0.18308,0.135593220338983,0.5303435369602993,0.1144018736478531,0.548826041650575,0,gmm
16,Kalimantan Utara,29.0,228.84420289855072,63.78666666666666,0.1951839658444022,0.0131826741996233,0.6405449360602413,0.0001409329377712,0.684563100552436,0,gmm
17,Kepulauan Bangka Belitung,32.0,169.84420289855072,89.705,0.1843923529411764,0.0188323917137476,0.4591520741433853,0.0150219838902647,0.5635431129614532,0,gmm
18,Kepulauan Riau,48.0,221.5,182.0583333333333,0.17686,0.0489642184557438,0.617965512632001,0.0680467922871246,0.4790733244649074,0,gmm
19,Lampung,161.0,167.25,227.05000000000004,0.1613799999999999,0.2617702448210923,0.4511763133270952,0.0938788269127154,0.305476529925657,3,gmm
20,Maluku,120.5,295.0108695652174,152.46,0.1341399999999999,0.1854990583804143,0.8439713941986363,0.0510528636738308,0.0,3,gmm
21,Maluku Utara,75.0,299.5942028985507,151.53166666666667,0.15436,0.0998116760828625,0.8580626475961322,0.0505198596624786,0.2267524021694857,0,gmm
22,Nusa Tenggara Barat,88.5,80.83333333333333,148.315,0.16216,0.1252354048964218,0.1854921356324911,0.0486730055477392,0.3142236552318986,3,gmm
23,Nusa Tenggara Timur,220.5,20.5,240.29666666666665,0.15686,0.3738229755178908,0.0,0.1014844209562121,0.2547880602023105,1,gmm
24,Papua,61.5,345.76086956521743,569.045625,0.16732,0.0743879472693032,1.0,0.2902361410849816,0.3720892534116486,0,gmm
25,Papua Barat,40.5,164.08333333333334,224.50000000000003,0.1580316129032258,0.0348399246704331,0.4414405382524617,0.0924147404901499,0.267926835682984,0,gmm
26,Papua Barat Daya,59.5,167.2608695652174,138.24180555555554,0.1757516129032258,0.0706214689265536,0.4512097313193423,0.0428894654622597,0.4666435798196449,0,gmm
27,Papua Pegunungan,91.5,144.58333333333334,125.02409722222222,0.2233121534437663,0.1308851224105461,0.3814886601612974,0.0353004978903918,1.0,0,gmm
28,Papua Selatan,42.5,201.76086956521732,109.18666666666668,0.1881716129032258,0.0386064030131826,0.557278438711402,0.0262074127748185,0.6059247289267176,0,gmm
29,Papua Tengah,63.5,201.59420289855072,393.14833333333337,0.15616,0.0781544256120527,0.5567660294969476,0.1892444404986293,0.2469380759531194,0,gmm
30,Riau,121.0,151.91666666666666,207.53333333333333,0.1587,0.1864406779661017,0.4040346655972908,0.0826733027243224,0.2754223045144695,3,gmm
31,Sulawesi Barat,49.0,295.8442028985507,64.65833333333333,0.2162116129032258,0.0508474576271186,0.8465334402709083,0.0006414016952887,0.9203726694228784,0,gmm
32,Sulawesi Selatan,237.0,59.66666666666666,359.54833333333335,0.17708,0.4048964218455744,0.1204161653967829,0.1699529488130613,0.4815404623717962,1,gmm
33,Sulawesi Tengah,109.5,180.41666666666663,156.77833333333334,0.1656399999999999,0.1647834274952919,0.4916566412689924,0.0535322413998877,0.3532492912135903,3,gmm
34,Sulawesi Tenggara,154.0,83.17753623188406,133.49166666666667,0.17216,0.2485875706214689,0.1926992826270997,0.040162165912251,0.4263662873631972,1,gmm
35,Sulawesi Utara,101.5,256.0833333333333,172.405,0.17226,0.1497175141242938,0.7242904246312879,0.0625043161044456,0.4274877136845103,0,gmm
36,Sumatera Barat,140.0,90.83333333333331,128.1266666666667,0.1698,0.2222222222222222,0.2162366884997548,0.037081842909481,0.3999006261802107,1,gmm
37,Sumatera Selatan,177.0,45.5108695652174,190.819537037037,0.15402,0.2919020715630885,0.0768948001604063,0.0730770508706236,0.2229395526770219,1,gmm
38,Sumatera Utara,309.5,136.16666666666666,539.1622916666666,0.14454,0.5414312617702448,0.3556119948313504,0.2730785792832834,0.1166283374165506,1,gmm
